customer_id,country,signup_date,last_observed_date,source_system,is_simulated,simulation_version
C12346,United Kingdom,2011-01-18 10:01:00,2011-01-18 10:17:00,UCI Online Retail,False,
C12347,Iceland,2010-12-07 14:57:00,2011-12-07 15:52:00,UCI Online Retail,False,
C12348,Finland,2010-12-16 19:09:00,2011-09-25 13:13:00,UCI Online Retail,False,
C12349,Italy,2011-11-21 09:51:00,2011-11-21 09:51:00,UCI Online Retail,False,
C12350,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,UCI Online Retail,False,
C12352,Norway,2011-02-16 12:33:00,2011-11-03 14:37:00,UCI Online Retail,False,
C12353,Bahrain,2011-05-19 17:47:00,2011-05-19 17:47:00,UCI Online Retail,False,
C12354,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,UCI Online Retail,False,
C12355,Bahrain,2011-05-09 13:49:00,2011-05-09 13:49:00,UCI Online Retail,False,
C12356,Portugal,2011-01-18 09:50:00,2011-11-17 08:40:00,UCI Online Retail,False,
C12357,Switzerland,2011-11-06 16:07:00,2011-11-06 16:07:00,UCI Online Retail,False,
C12358,Austria,2011-07-12 10:04:00,2011-12-08 10:26:00,UCI Online Retail,False,
C12359,Cyprus,2011-01-12 12:43:00,2011-12-02 11:21:00,UCI Online Retail,False,
C12360,Austria,2011-05-23 09:43:00,2011-10-18 15:22:00,UCI Online Retail,False,
C12361,Belgium,2011-02-25 13:51:00,2011-02-25 13:51:00,UCI Online Retail,False,
C12362,Belgium,2011-02-17 10:30:00,2011-12-06 15:40:00,UCI Online Retail,False,
C12363,Unspecified,2011-04-11 13:29:00,2011-08-22 10:18:00,UCI Online Retail,False,
C12364,Belgium,2011-08-19 15:24:00,2011-12-02 10:22:00,UCI Online Retail,False,
C12365,Cyprus,2011-02-21 13:51:00,2011-02-21 14:04:00,UCI Online Retail,False,
C12367,Denmark,2011-12-05 16:48:00,2011-12-05 16:48:00,UCI Online Retail,False,
C12370,Cyprus,2010-12-14 12:58:00,2011-10-19 14:51:00,UCI Online Retail,False,
C12371,Switzerland,2011-10-11 10:43:00,2011-10-26 10:16:00,UCI Online Retail,False,
C12372,Denmark,2011-02-16 12:46:00,2011-09-29 12:12:00,UCI Online Retail,False,
C12373,Austria,2011-02-01 13:10:00,2011-02-01 13:10:00,UCI Online Retail,False,
