product_id,product_name,median_unit_price,category,cost_ratio,standard_cost,source_system,is_simulated_category,is_simulated_cost,simulation_version
10002,INFLATABLE POLITICAL GLOBE,0.85,Other,0.6299,0.5354,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
10080,GROOVY CACTUS INFLATABLE,0.39,Other,0.6579,0.2566,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
10120,DOGGY RUBBER,0.21,Other,0.5336,0.1121,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
10123C,HEARTS WRAPPING TAPE,0.65,Gifts & Seasonal,0.5275,0.3429,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,Other,0.5143,0.216,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,Other,0.417,0.1751,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
10125,MINI FUNKY DESIGN TAPES,0.85,Other,0.5338,0.4537,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
10133,COLOURING PENCILS BROWN TUBE,0.79,Stationery,0.4718,0.3727,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
10135,COLOURING PENCILS BROWN TUBE,1.25,Stationery,0.4537,0.5671,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
11001,ASSTD DESIGN RACING CAR PEN,1.69,Other,0.3907,0.6603,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15030,FAN BLACK FRAME,0.29,Home Decor,0.5131,0.1488,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15034,PAPER POCKET TRAVELING FAN,0.14,Stationery,0.4888,0.0684,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15036,ASSORTED COLOURS SILK FAN,0.83,Other,0.6335,0.5258,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15039,SANDALWOOD FAN,1.24,Other,0.5253,0.6514,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15044A,PINK PAPER PARASOL,2.95,Stationery,0.6161,1.8175,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15044B,BLUE PAPER PARASOL,2.95,Stationery,0.4255,1.2552,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15044C,PURPLE PAPER PARASOL,2.95,Stationery,0.5302,1.5641,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15044D,RED PAPER PARASOL,2.95,Stationery,0.5607,1.6541,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15056BL,EDWARDIAN PARASOL BLACK,5.95,Other,0.4918,2.9262,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15056N,EDWARDIAN PARASOL NATURAL,5.95,Other,0.5919,3.5218,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15056P,EDWARDIAN PARASOL PINK,5.95,Other,0.6743,4.0121,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15056bl,EDWARDIAN PARASOL BLACK,12.46,Other,0.6593,8.2149,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15056n,EDWARDIAN PARASOL NATURAL,12.46,Other,0.4543,5.6606,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15056p,EDWARDIAN PARASOL PINK,12.46,Other,0.5888,7.3364,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15058A,BLUE POLKADOT GARDEN PARASOL,7.95,Other,0.6582,5.2327,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15058B,PINK POLKADOT GARDEN PARASOL,10.79,Other,0.4342,4.685,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15058C,ICE CREAM DESIGN GARDEN PARASOL,10.79,Other,0.6437,6.9455,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15060B,FAIRY CAKE DESIGN UMBRELLA,3.75,Accessories,0.5322,1.9958,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
15060b,FAIRY CAKE DESIGN UMBRELLA,8.29,Accessories,0.6358,5.2708,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.12,Other,0.611,0.0733,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,Other,0.3826,0.0459,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16011,ANIMAL STICKERS,0.21,Stationery,0.506,0.1063,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16012,FOOD/DRINK SPONGE STICKERS,0.21,Stationery,0.6677,0.1402,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16014,SMALL CHINESE STYLE SCISSOR,0.42,Other,0.4591,0.1928,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16015,MEDIUM CHINESE STYLE SCISSOR,0.5,Other,0.5402,0.2701,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16016,LARGE CHINESE STYLE SCISSOR,0.85,Other,0.3966,0.3371,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16020C,CLEAR STATIONERY BOX SET,0.83,Other,0.6,0.498,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16033,MINI HIGHLIGHTER PENS,0.12,Other,0.486,0.0583,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16043,POP ART PUSH DOWN RUBBER,0.12,Other,0.5226,0.0627,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16045,POPART WOODEN PENCILS ASST,0.04,Stationery,0.6589,0.0264,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16046,TEATIME PEN CASE & PENS,0.85,Kitchen & Dining,0.4772,0.4056,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16048,TEATIME ROUND PENCIL SHARPENER,0.12,Kitchen & Dining,0.4969,0.0596,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16049,TEATIME GEL PENS ASST,0.12,Kitchen & Dining,0.6408,0.0769,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16052,TEATIME PUSH DOWN RUBBER,0.83,Kitchen & Dining,0.5585,0.4636,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16054,POPART RECT PENCIL SHARPENER ASST,0.12,Stationery,0.4126,0.0495,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16151A,FLOWERS HANDBAG blue and orange,1.25,Accessories,0.5584,0.698,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16156L,WRAP CAROUSEL,0.42,Gifts & Seasonal,0.4931,0.2071,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16156S,WRAP PINK FAIRY CAKES,0.42,Gifts & Seasonal,0.6507,0.2733,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16161G,WRAP BAD HAIR DAY,0.1,Gifts & Seasonal,0.399,0.0399,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16161M,WRAP  PINK FLOCK,0.42,Gifts & Seasonal,0.6392,0.2685,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16161P,WRAP ENGLISH ROSE,0.42,Gifts & Seasonal,0.5624,0.2362,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16161U,WRAP SUKI AND FRIENDS,0.42,Gifts & Seasonal,0.5681,0.2386,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16162L,THE KING GIFT BAG,0.65,Gifts & Seasonal,0.4516,0.2935,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16162M,THE KING GIFT BAG 25x24x12cm,0.42,Gifts & Seasonal,0.5557,0.2334,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.83,Gifts & Seasonal,0.4235,0.3515,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16169E,WRAP 50'S  CHRISTMAS,0.42,Gifts & Seasonal,0.6043,0.2538,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16169K,WRAP FOLK ART,0.42,Gifts & Seasonal,0.4553,0.1912,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16169M,WRAP DAISY CARPET,0.42,Gifts & Seasonal,0.5124,0.2152,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16169N,WRAP BLUE RUSSIAN FOLKART,0.42,Gifts & Seasonal,0.5563,0.2336,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16169P,WRAP GREEN RUSSIAN FOLKART,0.42,Gifts & Seasonal,0.5544,0.2328,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16202A,PASTEL PINK PHOTO ALBUM,0.5,Other,0.6052,0.3026,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16202B,PASTEL BLUE PHOTO ALBUM,0.5,Other,0.3876,0.1938,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16202E,BLACK PHOTO ALBUM,0.5,Other,0.6187,0.3094,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16206B,RED PURSE WITH PINK HEART,1.25,Accessories,0.4479,0.5599,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16207A,PINK STRAWBERRY HANDBAG,2.46,Accessories,0.6656,1.6374,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16207B,PINK HEART RED HANDBAG,2.46,Accessories,0.5542,1.3633,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16216,LETTER SHAPE PENCIL SHARPENER,0.06,Stationery,0.518,0.0311,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16218,CARTOON  PENCIL SHARPENERS,0.06,Stationery,0.4977,0.0299,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16219,HOUSE SHAPE PENCIL SHARPENER,0.83,Stationery,0.4478,0.3717,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16225,RATTLE SNAKE EGGS,1.25,Other,0.4372,0.5465,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.42,Stationery,0.6033,0.2534,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16236,KITTY PENCIL ERASERS,0.21,Stationery,0.5194,0.1091,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16237,SLEEPING CAT ERASERS,0.21,Other,0.5813,0.1221,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16238,PARTY TIME PENCIL ERASERS,0.21,Stationery,0.588,0.1235,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,1.225,Other,0.5112,0.6262,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16248B,BLUE HOLE PUNCH,1.25,Other,0.4748,0.5935,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.63,Other,0.4805,0.7832,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.42,Accessories,0.3945,0.1657,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
16259,PIECE OF CAMO STATIONERY SET,0.08,Other,0.5138,0.0411,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,Other,0.6445,0.1869,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17003,BROCADE RING PURSE,0.305,Accessories,0.5794,0.1767,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,Home Decor,0.6024,1.265,UCI Online Retail + simulated attributes,True,True,omnichannel-sim-v1
