spend_id,date_key,campaign_id,channel_id,location_id,impressions,clicks,spend,source_system,source_record_id,is_simulated,simulation_version
SPEND-CMP-PAID_SEARCH-01-20101201,20101201,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,39678,2142,2035.29,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101201,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101202,20101202,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,33631,412,483.18,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101202,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101203,20101203,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,49010,1175,1317.64,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101203,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101204,20101204,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,41602,1018,618.81,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101204,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101205,20101205,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,45461,1425,1901.56,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101205,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101206,20101206,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,41734,1050,697.11,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101206,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101207,20101207,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,42718,2134,3058.68,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101207,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101208,20101208,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,31413,1178,431.3,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101208,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101209,20101209,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,22578,271,198.72,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101209,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101210,20101210,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,44113,1139,1454.07,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101210,True,omnichannel-sim-v1
SPEND-CMP-PAID_SEARCH-01-20101211,20101211,CMP-PAID_SEARCH-01,MKT_PAID_SEARCH,COUNTRY-united-kingdom,38576,2106,1201.55,Simulated extension,SPEND-CMP-PAID_SEARCH-01-20101211,True,omnichannel-sim-v1
