customer_id,last_purchase,frequency,monetary,gross_margin,fulfilment_cost,recency_days,observed_historical_clv,r_score,f_score,m_score,rfm_segment
C12346,2011-10-06,11,77560.75850000001,37719.11130000001,26004.5,65,11714.611300000011,1,2,5,Lost
C12347,2011-12-07,22,5066.6415,2275.2133,903.65,3,1371.5632999999998,5,5,5,Champions
C12348,2011-10-30,13,2371.2905,1126.8645,843.35,41,283.5144999999999,1,3,4,At Risk
C12349,2011-11-21,14,2491.3375,1291.3621,258.5,19,1032.8621,3,4,4,Loyal
C12350,2011-09-29,9,701.168,350.2846,91.15,72,259.1346,1,1,1,Lost
C12352,2011-11-03,19,3389.8565,2147.2954,224.95,37,1922.3454,2,5,5,At Risk
C12353,2011-11-02,7,489.482,215.227,25.6,38,189.627,2,1,1,Other
C12354,2011-12-05,9,2031.4075,996.2534999999999,211.3,5,784.9534999999998,5,1,4,Other
C12355,2011-10-28,10,891.307,399.2162,108.15,43,291.0662,1,2,2,Lost
C12356,2011-11-17,10,3130.095,1398.6804,576.8,23,821.8804,2,2,5,Other
C12357,2011-11-13,13,6769.45,2962.4206,984.7,27,1977.7205999999999,2,3,5,At Risk
C12358,2011-12-08,15,2069.2715000000003,982.8814000000001,124.75,2,858.1314000000001,5,4,4,Champions
C12359,2011-11-26,18,7490.147,3290.6977,608.15,14,2682.5477,3,5,5,Loyal
C12360,2011-10-18,6,2915.282,1470.463,415.55,53,1054.913,1,1,5,Lost
C12361,2011-11-28,10,588.127,283.2154,52.4,12,230.81539999999998,4,2,1,Potential Loyalists
C12362,2011-12-06,26,6176.002,2904.8579,826.05,4,2078.8079,5,5,5,Champions
C12363,2011-11-26,7,780.326,352.7107,156.6,14,196.11069999999998,3,1,2,Other
C12364,2011-12-08,15,1799.846,872.8795,558.3,2,314.57950000000005,5,4,4,Champions
C12365,2011-11-24,7,1011.543,638.6235,75.75,16,562.8735,3,1,2,Other
C12367,2011-12-05,17,1056.5575000000001,487.6228,105.1,5,382.52279999999996,5,4,2,Loyal
C12370,2011-11-02,11,3815.5085,1856.5069,845.1,38,1011.4069000000001,2,2,5,Other
C12371,2011-11-14,16,2937.7490000000003,1535.3721,253.65,26,1281.7221,2,4,5,At Risk
C12372,2011-09-29,7,1552.8129999999999,741.4287,290.05,72,451.37870000000004,1,1,3,Lost
C12373,2011-10-06,8,890.2475,423.9824,88.45,65,335.5324,1,1,2,Lost
C12374,2011-11-14,9,1171.5819999999999,590.7535,144.75,26,446.00350000000003,2,1,3,Other
C12375,2011-11-29,12,990.2710000000001,447.1411,92.15,11,354.99109999999996,4,3,2,Potential Loyalists
C12377,2011-10-31,10,2194.805,1091.21,357.7,40,733.51,2,2,4,Other
C12378,2011-11-11,13,4648.16,2151.6944,922.65,29,1229.0443999999998,2,3,5,At Risk
C12379,2011-09-20,15,1475.6285,676.0809,187.6,81,488.4809,1,4,3,At Risk
C12380,2011-11-18,11,3155.659,1439.997,414.7,22,1025.297,3,2,5,Other
C12381,2011-12-05,15,2777.581,1399.4122,313.40000000000003,5,1086.0122,5,4,5,Champions
C12383,2011-09-17,14,2323.872,1089.0332,562.9,84,526.1332000000001,1,4,4,At Risk
C12384,2011-11-11,6,933.6705000000001,499.735,58.05,29,441.685,2,1,2,Other
C12386,2011-11-16,9,1012.363,458.57370000000003,145.2,24,313.37370000000004,2,1,2,Other
C12388,2011-12-09,15,3253.505,1533.852,536.0,1,997.8520000000001,5,4,5,Champions
C12390,2011-09-21,8,784.6335,368.2947,141.1,80,227.19469999999998,1,1,2,Lost
C12391,2011-11-18,10,2183.6055,1065.0416,127.15,22,937.8916,3,2,4,Other
C12393,2011-11-20,14,2169.404,1024.5328,317.25,20,707.2828,3,4,4,Loyal
C12394,2011-11-13,7,1555.3405,660.921,304.95,27,355.97100000000006,2,1,4,Other
C12395,2011-12-05,23,3616.19,1605.5461,772.2,5,833.3461,5,5,5,Champions
C12397,2011-11-27,12,2918.774,1313.2474,473.1,13,840.1474,3,3,5,Other
C12398,2011-12-08,14,2343.333,1189.6099,524.0500000000001,2,665.5598999999999,5,4,4,Champions
C12399,2011-12-01,17,1808.7455,846.7284,454.0,9,392.72839999999997,4,4,4,Champions
