month,net_revenue,cogs,gross_margin,fulfilment_cost,orders,active_customers,campaign_spend,contribution_margin,aov,revenue_mom_pct,gross_margin_pct,contribution_margin_pct
2010-12-01,998023.7295,506070.2487,491953.4808,141484.15,5577,2758,97327.58,253141.7508,178.9535107584723,,0.49292763915189053,0.2536430180140321
2011-01-01,811494.5265,463199.2592,348295.2673,168259.3,5297,2776,94311.65,85724.31730000002,153.19889116481028,-0.1868985651207404,0.4292022384947041,0.10563757918335143
2011-02-01,776934.1215,410569.3154,366364.8061,110573.45,4640,2566,90879.15,164912.20609999998,167.44269859913794,-0.0425885867019462,0.4715519578322446,0.2122602181271298
2011-03-01,934248.805,483194.5498,451054.2552,145279.9,5508,2803,95496.41,210277.9452,169.6167038852578,0.2024813676560863,0.4827988569918481,0.22507702881139888
2011-04-01,788581.926,417207.3438,371374.5822,123008.95,5148,2741,105443.91,142921.7222,153.1821923076923,-0.1559187212447117,0.47093975902257745,0.18123890173967797
2011-05-01,1196818.659,618599.8671,578218.7919,152310.65,5778,2891,95258.24,330649.90189999994,207.13372429906545,0.5176846178440058,0.4831298271896344,0.276274019805368
2011-06-01,955313.542,525517.4264,429796.1156,149607.95,5436,2783,101066.33,179121.8356,175.7383263428992,-0.2017892311286232,0.4499005789242753,0.18750057203732173
2011-07-01,908684.1155,499756.9405,408927.175,153309.65,5445,2770,104132.49,151485.03499999997,166.88413507805325,-0.0488105992953673,0.450021264842942,0.1667081358813518
2011-08-01,1075760.562,555960.0101,519800.5519,162469.85,5311,2755,92933.27,264397.4319,202.55329730747505,0.1838663663753676,0.4831935379129469,0.24577721217855916
2011-09-01,1287451.6885,697899.9454,589551.7431,213179.4,5796,2928,103668.96,272703.3830999999,222.12762051414768,0.1967827544323008,0.45792144929871675,0.21181640098489796
2011-10-01,1349556.609,731132.3104,618424.2986,235169.75,6052,2994,101124.3,282130.2486,222.99349124256443,0.0482386415387423,0.4582425772107793,0.20905403057457073
2011-11-01,1689484.569,864923.5738,824560.9952,277984.9,6711,3122,91052.91,455523.1852,251.748557443004,0.2518812161958002,0.4880547655360089,0.2696225781272584
